ENSMUSG_ID	r2	pval	qval	X.Intercept._est	duration4weeks_est	duration6weeks_est	duration8weeks_est	X.Intercept._pval	duration4weeks_pval	duration6weeks_pval	duration8weeks_pval	Symbol	Entrezid	Genename
ENSMUSG00000068696	0.955910473716134	1.00621011434078e-13	4.82813153197849e-10	7.7075356685214	-13.2934930770881	-46.2303833946208	-8.44955344155056	0.000183356745453869	1.83742495420162e-05	1.91606266748413e-14	0.0020218761645393	Gpr88	64378	G-protein coupled receptor 88
ENSMUSG00000005892	0.926033985896575	1.75154896851605e-11	3.11606459503861e-08	-0.57160094169535	0.583344027598059	-1.33912656215725	0.548226227519712	1.10080685683115e-05	0.000448083888624476	5.9900211975085e-09	0.000808524386069991	Trh	22044	thyrotropin releasing hormone
ENSMUSG00000030043	0.911554679668997	1.03934905576225e-10	9.9742864384651e-08	0.021366514365302	-0.279550170108845	-1.66779385891076	-0.231355885894687	0.817775706477048	0.0431013500854298	3.82405593811708e-11	0.0890202104037012	Tacr1	21336	tachykinin receptor 1
ENSMUSG00000036782	0.875025834476775	3.23761153721934e-09	2.21930562277488e-06	2.08959288648791	-2.22915299333953	-10.4565486982354	-0.739584376332065	0.00774498106532565	0.0371625885739676	1.4462330679317e-09	0.467452180261641	Klhl13	67455	kelch-like 13
ENSMUSG00000032290	0.871764454617862	4.18194694271762e-09	2.73632392001909e-06	2.82214926720391	-13.564251460979	6.99104963432165	0.489337050933399	0.0397739966386558	3.2724110217431e-07	0.000992712404223019	0.790180442322197	Ptpn9	56294	protein tyrosine phosphatase, non-receptor type 9
ENSMUSG00000041324	0.847143362607302	2.390896684663e-08	1.43403990732183e-05	-0.0764544370429808	-2.3304048071001	3.90145843227808	0.540812932206084	0.858376999357147	0.000897280523593901	2.34116740449066e-06	0.376694095541732	Inhba	16323	inhibin beta-A
ENSMUSG00000059013	0.824358146705264	9.47776002334676e-08	5.2473982898491e-05	0.166016326158227	7.30463909999995	-8.30768082427993	-2.69839447689561	0.887595269891733	0.000243478343492214	5.91064786441146e-05	0.115517905036689	Sh2d3c	27387	SH2 domain containing 3C
ENSMUSG00000025316	0.819569030312862	1.23710738534458e-07	6.5956151155686e-05	-0.29803206836392	-6.78468805850865	13.4172593416386	3.04870010670437	0.847257212199369	0.00514173174699219	4.56321810655805e-06	0.173477590666247	Banp	53325	BTG3 associated nuclear protein
ENSMUSG00000020601	0.818174641572673	1.33509218187813e-07	6.86380427076275e-05	3.42836541486264	-21.8431094857296	17.8762111381884	-1.47172340600463	0.261274670454781	4.26563674229513e-05	0.00038085953392901	0.729316796794024	Trib2	217410	tribbles pseudokinase 2
ENSMUSG00000015843	0.813650757257236	1.70282280013819e-07	8.17071140266306e-05	0.0222650949726073	-0.865324874234816	-2.97736266156651	0.0214018163150978	0.932948136007378	0.0296748047701545	1.04559984171381e-07	0.954394364918419	Rxrg	20183	retinoid X receptor gamma
ENSMUSG00000032193	0.810814369154226	1.9774192244412e-07	8.89529679244723e-05	-6.07740734838044	14.526401965522	-6.73447640928359	-4.9605037633071	0.003053467150969	1.426713325665e-05	0.0157173779753259	0.0660608242480753	Ldlr	16835	low density lipoprotein receptor
ENSMUSG00000020032	0.810102254070774	2.05232132734066e-07	8.95247439608148e-05	4.97026081562363	-35.1058212067151	24.668898605815	-6.42304747270736	0.293533274090954	2.83727717848082e-05	0.00115978750142941	0.336025899370137	Nuak1	77976	NUAK family, SNF1-like kinase, 1
ENSMUSG00000051335	0.802594278424339	3.01192332126049e-07	0.000123876103455842	13.3179201944588	-55.1811071300931	42.9538569617544	-4.6178405549521	0.0997360579915357	6.02562770737538e-05	0.000815750716759869	0.676649929840689	Gfod1	328232	glucose-fructose oxidoreductase domain containing 1
ENSMUSG00000032402	0.80200669578879	3.10177308897066e-07	0.000124027843377035	1.98998657395469	-22.7780301859653	19.8629573792063	8.96391664472199	0.574476470457995	0.000165420278021732	0.00065761525728638	0.084047729963085	Smad3	17127	SMAD family member 3
ENSMUSG00000021250	0.80131869209176	3.2100309448539e-07	0.000124887555273438	-5.15368294013339	42.8102349714612	-16.5938547218473	-19.4050762719464	0.363072683508519	2.37180638464401e-05	0.0467895644331422	0.0222469041550702	Fos	14281	FBJ osteosarcoma oncogene
ENSMUSG00000008129	0.798784710299944	3.6386214166562e-07	0.000132924310399284	-0.429372698773488	0.734788656054903	-0.337770950777668	-0.496781581066216	0.000645739160848476	8.96413977169839e-05	0.0362046014321532	0.00355625684411862	4930432K21Rik	74666	RIKEN cDNA 4930432K21 gene
ENSMUSG00000040586	0.79796063244351	3.78867785905644e-07	0.000133019555563701	1.945791802678	-1.46435066319786	-3.82846204577492	-2.56148520700603	5.36649337409958e-06	0.00386721518574859	4.19965952840075e-08	1.36718243020401e-05	Ofd1	237222	OFD1, centriole and centriolar satellite protein
ENSMUSG00000033192	0.796141398584271	4.13977944646176e-07	0.000136754330958507	-2.189082435343	3.63233586196596	1.14528306414835	2.60558913747163	8.82813669751937e-07	7.9719626987666e-08	0.0176960010724297	9.4189312364283e-06	Lpcat2	270084	lysophosphatidylcholine acyltransferase 2
ENSMUSG00000045671	0.7959416475288	4.18005596538682e-07	0.000136754330958507	1.50679420023808	-38.1198333522843	39.4383309236121	0.714319740672572	0.810741416759639	0.000317100617415297	0.000223399658850524	0.935977947555274	Spred2	114716	sprouty-related, EVH1 domain containing 2
ENSMUSG00000021224	0.794212266119065	4.54373665850434e-07	0.000142189324346022	0.291040641227023	-6.34094148279689	12.7436687737929	-2.77801935823639	0.860742494186045	0.0126851671024452	2.19218494713805e-05	0.244388283364254	Numb	18222	NUMB endocytic adaptor protein
ENSMUSG00000032245	0.793692003708123	4.65856752675643e-07	0.000142681020314168	-2.20335176461017	4.1317551611031	-0.254517082246116	1.38695647864082	1.97319307361674e-05	4.14300045598016e-07	0.655260557999748	0.0226435823493456	Cln6	76524	ceroid-lipofuscinosis, neuronal 6
ENSMUSG00000071646	0.785087402853787	6.97601084949025e-07	0.000209207658705025	-3.79639133656645	2.77852391446781	7.39057870169574	5.98325394167105	1.5518082359211e-05	0.0083331516685597	1.76809736614875e-07	3.74422845793259e-06	Mta2	23942	metastasis-associated gene family, member 2
ENSMUSG00000031758	0.782888741878353	7.71384848228755e-07	0.000209511035665149	3.19130661127339	-17.0576690849634	7.37833007819802	3.53840230629132	0.162076922705384	2.26811916411629e-05	0.0277585746691221	0.268490185978899	Cdyl2	75796	chromodomain protein, Y chromosome-like 2
ENSMUSG00000046947	0.783238652427401	7.59193074484037e-07	0.000209511035665149	-0.74624485928287	2.88265864637282	-1.99755989511764	-0.725014875525475	0.0916592534554683	9.94463767383898e-05	0.0031610983292237	0.23768520307847	Adck2	57869	aarF domain containing kinase 2
